ID	Description	NES_hsa24h_10gy	NES_hsa24h_20gy	NES_mus24h_10gy	NES_mus24h_20gy	NES_musw24h_10gy	NES_musw24h_20gy	NES_aco24h_10gy	NES_aco24h_20gy	padj_hsa24h_10gy	padj_hsa24h_20gy	padj_mus24h_10gy	padj_mus24h_20gy	padj_musw24h_10gy	padj_musw24h_20gy	padj_aco24h_10gy	padj_aco24h_20gy	padj_hsa	padj_mus	padj_musw	padj_aco	padj_min
GO:0042254	ribosome biogenesis	2.05993339059356	2.43921906163011	0.518900151580272	0.40159159363653	-2.28530590721206	NA	-2.12343556433726	-2.05337595127054	5.54e-07	2.13076923076923e-08	1	1	1.62314285714286e-08	NA	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	1	1.62314285714286e-08	3.99861111111111e-09	3.99861111111111e-09
GO:0022613	ribonucleoprotein complex biogenesis	1.81451962407577	2.28906639649828	0.428738621046276	0.350584026234542	NA	NA	-2.24886921007834	-2.20389066600779	9.91310302988274e-06	2.13076923076923e-08	1	1	NA	NA	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	1	NA	3.99861111111111e-09	3.99861111111111e-09
GO:0007005	mitochondrion organization	1.70929610887438	1.79787651028836	0.840438170591749	0.801102735648892	0.667844476992437	0.615335882419323	0.746067353313936	0.74208304190929	9.91310302988274e-06	2.50284613502644e-07	1	1	1	1	1	1	2.50284613502644e-07	1	1	1	2.50284613502644e-07
GO:0000280	nuclear division	-1.79684693954586	-2.28828587639046	-0.993208570496203	1.11216945930028	NA	NA	-3.10775914906828	-3.03681306271338	1.21277215775948e-05	2.13076923076923e-08	0.826258423278176	0.669065643840814	NA	NA	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	0.669065643840814	NA	3.99861111111111e-09	3.99861111111111e-09
GO:0048285	organelle fission	-1.73291391952186	-2.23056404499035	-0.949566440751885	1.07334023331597	NA	NA	-3.02252032663325	-2.92575094926236	3.37850522120748e-05	2.13076923076923e-08	0.97227420889127	0.751424550743195	NA	NA	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	0.751424550743195	NA	3.99861111111111e-09	3.99861111111111e-09
GO:0006364	rRNA processing	1.9079013249551	2.35782363592046	0.536597966272347	0.52075300034471	-2.29823340480179	NA	-2.17372915688569	-2.14549359679982	6.28137401712317e-05	2.13076923076923e-08	1	1	1.62314285714286e-08	NA	5.49040262443674e-09	1.97064083815271e-08	2.13076923076923e-08	1	1.62314285714286e-08	5.49040262443674e-09	5.49040262443674e-09
GO:0007059	chromosome segregation	-1.81864214767279	-2.42126496635342	-1.28869239412802	0.977338335727407	-2.83649614920163	NA	-3.33839432434714	-3.3473536762897	0.000136328077663527	2.13076923076923e-08	0.16640245254259	0.917762152247019	1.62314285714286e-08	NA	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	0.16640245254259	1.62314285714286e-08	3.99861111111111e-09	3.99861111111111e-09
GO:0000819	sister chromatid segregation	-1.85561923716106	-2.48045938321905	-1.77886099866053	0.641888521339224	-2.97428569065248	-2.32498985609024	-3.17300791895912	-3.22519923150613	0.000288681616384572	2.13076923076923e-08	0.00231538004731475	1	1.62314285714286e-08	1.88e-07	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	0.00231538004731475	1.62314285714286e-08	3.99861111111111e-09	3.99861111111111e-09
GO:0008544	epidermis development	1.8335921550457	2.02423541987885	-1.4609432406962	-1.44816762901116	1.31234677344053	1.09615043255533	1.39278809027477	1.3597550401761	0.000298570342410941	5.3421706098449e-06	0.0478773431961524	0.0637146551152485	0.209417200152366	0.693018114234626	0.038600348615953	0.0761887769185871	5.3421706098449e-06	0.0478773431961524	0.209417200152366	0.038600348615953	5.3421706098449e-06
GO:0140014	mitotic nuclear division	-1.80670692597473	-2.33623295012587	-1.30247685797207	0.832091838824489	-2.72746176802231	NA	-3.07159199316025	-3.0673106484461	0.000298570342410941	2.13076923076923e-08	0.204127260569038	1	1.62314285714286e-08	NA	3.99861111111111e-09	4.36212121212121e-09	2.13076923076923e-08	0.204127260569038	1.62314285714286e-08	3.99861111111111e-09	3.99861111111111e-09
