ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030239	myofibril assembly	65	0.773667986860491	2.17528534993109	1.057050868205e-10	5.46399203328511e-08	5.14970906223124e-08	1247	tags=52%, list=10%, signal=47%	Actc1/Myoz2/Lmod3/Csrp3/Actn2/Lmod2/Ttn/Casq2/Klhl41/Myom2/Xirp1/Myh6/Synpo2l/Tcap/Cav3/Acta1/Capn3/Casq1/Nrap/Mypn/Tnnt1/Tnnt3/Myoz1/Tnnt2/Cavin4/Neb/Prox1/Mef2c/Tmod1/Ldb3/Fhod3/Ankrd23/Tmod4/Pgm5
GO:0055002	striated muscle cell development	65	0.773667986860491	2.17528534993109	1.057050868205e-10	5.46399203328511e-08	5.14970906223124e-08	1247	tags=52%, list=10%, signal=47%	Actc1/Myoz2/Lmod3/Csrp3/Actn2/Lmod2/Ttn/Casq2/Klhl41/Myom2/Xirp1/Myh6/Synpo2l/Tcap/Cav3/Acta1/Capn3/Casq1/Nrap/Mypn/Tnnt1/Tnnt3/Myoz1/Tnnt2/Cavin4/Neb/Prox1/Mef2c/Tmod1/Ldb3/Fhod3/Ankrd23/Tmod4/Pgm5
GO:0006941	striated muscle contraction	136	0.692982339620744	2.15190905943471	1e-10	5.46399203328511e-08	5.14970906223124e-08	1261	tags=37%, list=10%, signal=34%	Actc1/Myh3/Chrng/Chrnd/Myl1/Cacna1s/Scn5a/Tnnc2/Myh8/Lmod3/Csrp3/Ttn/Tnni1/Chrna1/Stac/Chrne/Casq2/Myh6/Cxcr4/Tcap/Gja5/Adora1/Scn4a/Tnni2/Atp2a1/Cav3/Casq1/Tnnc1/Tnnt1/Kcne3/Tnnt3/Fgf13/Akap6/Dsg2/Tnnt2/Gata4/Scn10a/Myl4/Jsrp1/Stac3/Ryr3/Abcc9/Chrnb1/Dmd/Actn3/Myh14/Rcsd1/Tmem38a/Arg2/Grcc10
GO:0060538	skeletal muscle organ development	175	0.666012350601344	2.11535191353257	1e-10	5.46399203328511e-08	5.14970906223124e-08	1692	tags=35%, list=13%, signal=31%	Myog/Chrnd/Cacna1s/Myoz2/Pax7/Myf5/Lmod3/Myod1/Mymx/Msc/Chrna1/Rbm24/Klhl40/Col19a1/Klhl41/Igf2/Ryr1/Smyd1/Myf6/P2rx2/Acta1/Capn3/Popdc3/Mstn/Rbfox1/Srpk3/Heyl/Ankrd2/Myoz1/Des/Dner/Gata4/Vgll2/Myl6b/Bves/Stac3/Megf10/Mef2c/Klf5/Myocd/Ankrd1/Dll1/Stra6/Popdc2/Dmd/Actn3/Sox11/Scx/Gpx1/Myh14/Pitx1/Asb2/Homer1/Gpc1/Rb1/Hlx/Hoxd9/Zbtb18/Sap30/Sox8/Tbx1
GO:0007519	skeletal muscle tissue development	165	0.665499602768228	2.10472353637369	1e-10	5.46399203328511e-08	5.14970906223124e-08	1692	tags=35%, list=13%, signal=31%	Myog/Chrnd/Cacna1s/Myoz2/Pax7/Myf5/Lmod3/Myod1/Msc/Chrna1/Rbm24/Klhl40/Col19a1/Klhl41/Igf2/Ryr1/Smyd1/Myf6/P2rx2/Acta1/Capn3/Popdc3/Mstn/Rbfox1/Srpk3/Heyl/Ankrd2/Myoz1/Dner/Gata4/Vgll2/Myl6b/Bves/Stac3/Megf10/Mef2c/Klf5/Myocd/Ankrd1/Dll1/Popdc2/Dmd/Actn3/Sox11/Scx/Gpx1/Myh14/Pitx1/Asb2/Homer1/Gpc1/Rb1/Hlx/Hoxd9/Zbtb18/Sap30/Sox8/Tbx1
GO:0007517	muscle organ development	294	0.618744271902424	2.08061543955607	1e-10	5.46399203328511e-08	5.14970906223124e-08	1735	tags=33%, list=14%, signal=29%	Actc1/Myog/Chrnd/Cacna1s/Myoz2/Pax7/Myf5/Lmod3/Csrp3/Myod1/Mymk/Mymx/Msc/Lbx1/Ttn/Tnni1/Chrna1/Rbm24/Klhl40/Col19a1/Klhl41/Myh6/Igf2/Tcap/Tifab/Ryr1/Trim72/Smyd1/Myf6/P2rx2/Smtnl1/Acta1/Capn3/Popdc3/Isl1/Tnnc1/Mstn/Erbb3/Rbfox1/Srpk3/Heyl/Ankrd2/Myoz1/Des/Dner/Cntf/Tnnt2/Cavin4/Gata4/Tcf15/Vgll2/Myl6b/Bves/Prox1/Chd7/Stac3/Xirp2/Megf10/Mef2c/Klf5/Myocd/Unc45b/Ankrd1/Jph1/Dll1/Scn8a/Stra6/Popdc2/Hey1/Dmd/Tgfb2/Mkx/Actn3/Sox11/Scx/Chkb/Gpx1/Myh14/Pitx1/Epor/Asb2/Sgcb/Lef1/Homer1/Gpc1/Nog/Lif/Rb1/Hlx/Hoxd9/Zbtb18/Sap30/Sox8/Tbx1/Gja1/Myl3
GO:0055001	muscle cell development	198	0.634261461237269	2.04634836093963	1e-10	5.46399203328511e-08	5.14970906223124e-08	1510	tags=34%, list=12%, signal=30%	Actc1/Myog/Cacna1s/Myoz2/Myf5/Lmod3/Csrp3/Actn2/Myod1/Lmod2/Ttn/Sypl2/Alpk3/Myo18b/Klhl40/Casq2/Klhl41/Myom2/Alpk2/Xirp1/Myh6/Synpo2l/Tcap/Tmem182/Ryr1/Myf6/Cav3/P2rx2/Acta1/Capn3/Casq1/Nrap/Isl1/Mypn/Tnnt1/Tnnt3/Myoz1/Dner/Akap6/Tnnt2/Cavin4/Cacna2d2/Gata4/Neb/Bves/Prox1/Stac3/Megf10/Mef2c/Tmod1/Myocd/Ldb3/Fhod3/Popdc2/Chrnb1/Dmd/Ankrd23/Actn3/Gpx1/Tmod4/Pgm5/Edn1/Sgcd/Asb2/Sgcb/Fdps/Homer1
GO:0006936	muscle contraction	240	0.614693898378463	2.01588624254615	1e-10	5.46399203328511e-08	5.14970906223124e-08	1213	tags=30%, list=9%, signal=27%	Actc1/Myh3/Chrng/Chrnd/Myl1/Cacna1s/Scn5a/Tnnc2/Myh8/Lmod3/Csrp3/Actn2/Lmod2/Mybpc1/Ttn/Tnni1/Chrna1/Myom3/Stac/Chrne/Casq2/Myom2/Myh6/Cxcr4/Tcap/Tifab/Gja5/Adora1/Scn4a/Tnni2/Ryr1/Atp2a1/Grip2/Cav3/P2rx2/Nmu/Trim63/Casq1/Tnnc1/Tnnt1/Kcne3/Tnnt3/Fgf13/Trpv1/Adra2c/Akap6/Dsg2/Tnnt2/Chrm2/Gata4/Scn10a/Myl6b/Myl4/Jsrp1/Stac3/P2rx1/Ryr3/Tmod1/Abcc9/Myocd/Tbx2/Myom1/Chrnb1/Dmd/Actn3/Adra2b/Myh14/Rcsd1/Tmem38a/Tmod4/Arg2
GO:0051146	striated muscle cell differentiation	275	0.594564104554629	1.99203494013145	1e-10	5.46399203328511e-08	5.14970906223124e-08	1147	tags=26%, list=9%, signal=24%	Actc1/Myog/Cacna1s/Myoz2/Myf5/Lmod3/Csrp3/Actn2/Myod1/Mymk/Mymx/Lmod2/Ttn/Rbm24/Alpk3/Myo18b/Klhl40/Casq2/Klhl41/Myom2/Alpk2/Xirp1/Myh6/Igf2/Synpo2l/Tcap/Tmem182/Ryr1/Trim72/Smyd1/Myf6/Cav3/P2rx2/Acta1/Capn3/Casq1/Nrap/Popdc3/Isl1/Mypn/Tnnt1/Tnnt3/Ankrd2/Myoz1/Dner/Akap6/Tnnt2/Cavin4/Gata4/Neb/Sox6/Bves/Prox1/Rbm38/Stac3/Hopx/Mef2c/Klf5/Tmod1/Myocd/Ldb3/Fhod3/Dll1/Popdc2/Dmd/Ankrd23/Rarb/Actn3/Igfbp5/Gpx1/Nek5
GO:0003012	muscle system process	341	0.578065370703411	1.95865453885183	1e-10	5.46399203328511e-08	5.14970906223124e-08	1213	tags=26%, list=9%, signal=24%	Actc1/Myh3/Myog/Chrng/Chrnd/Myl1/Cacna1s/Scn5a/Tnnc2/Myoz2/Myh8/Lmod3/Csrp3/Actn2/Myod1/Mymk/Lmod2/Mybpc1/Ttn/Tnni1/Chrna1/Myom3/Stac/Chrne/Casq2/Lep/Myom2/Myh6/Cxcr4/Tcap/Tifab/Gja5/Adora1/Scn4a/Tnni2/Ryr1/Trim72/Atp2a1/Grip2/Cav3/P2rx2/Nmu/Trim63/Casq1/Tnnc1/Tnnt1/Mstn/Srl/Kcne3/Tnnt3/Fgf13/Trpv1/Hrc/Myoz1/Adra2c/Akap6/Dsg2/Tnnt2/Chrm2/Gata4/Scn10a/P2ry1/Myl6b/Myl4/Jsrp1/Stac3/Mef2c/P2rx1/Ryr3/Tmod1/Trpc3/Abcc9/Myocd/Tbx2/Myom1/Chrnb1/Dmd/Actn3/Lmcd1/Igfbp5/Adra2b/Myh14/Mlip/Rcsd1/Tmem38a/Tmod4/Arg2
